place.place_type	5	poi	unicode	1729
place.place_type	5	neighborhood	unicode	336
place.place_type	5	country	unicode	173
place.url	13290	http://api.twitter.com/1/geo/id/3b77caf94bfc81fe.json	unicode	1941
place.url	13290	http://api.twitter.com/1/geo/id/7142eb97ae21e839.json	unicode	1786
place.url	13290	http://api.twitter.com/1/geo/id/1d9a5370a355ab0c.json	unicode	1405
place.url	13290	http://api.twitter.com/1/geo/id/e0060cda70f5f341.json	unicode	1225
place.url	13290	http://api.twitter.com/1/geo/id/6057f1e35bcc6c20.json	unicode	1176
possibly_sensitive	2	false	unicode	9289
possibly_sensitive	2	true	unicode	137
retweet_count	1	0	int	118837
retweeted	1	false	unicode	118837
source	217	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	unicode	54411
source	217	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	unicode	33498
source	217	web	unicode	12178
source	217	<a href="http://foursquare.com" rel="nofollow">foursquare</a>	unicode	4038
source	217	<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>	unicode	2539
text	117946	Lol	unicode	28
text	117946	Good morning	unicode	22
text	117946	:(	unicode	17
text	117946	:)	unicode	15
text	117946	Goodmorning	unicode	14
truncated	1	false	unicode	118837
user	1	dict	dict	118837
user.contributors_enabled	2	false	unicode	118825
user.contributors_enabled	2	true	unicode	12
user.created_at	66946	Tue Oct 30 18:42:14 +0000 2012	unicode	185
user.created_at	66946	Tue Apr 19 13:25:23 +0000 2011	unicode	122
user.created_at	66946	Sat Dec 03 03:46:42 +0000 2011	unicode	87
user.created_at	66946	Sat Apr 03 01:02:02 +0000 2010	unicode	74
user.created_at	66946	Tue Feb 22 08:17:26 +0000 2011	unicode	58
user.default_profile	2	false	unicode	89032
user.default_profile	2	true	unicode	29805
user.default_profile_image	2	false	unicode	118061
user.default_profile_image	2	true	unicode	776
user.description	55923		unicode	16449
user.description	55923	TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use	unicode	382
user.description	55923	Traffic, accidents, and road conditions from Caltrans highway message signs in San Francisco / San Jose Bay Area. Updates every 10 minutes from public sources.	unicode	185
user.description	55923	Ty Means The World To Me ❤ , ( Mention To Get Followed )	unicode	87
